0000 |0149-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-07|00FF-04|00FF-00|00FF-00|00FF-07|00FF-03|00FF-03|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|
0001 |00FF-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0152-00|010D-01|0113-04|0113-00|0113-09|0113-05|0113-01|0113-04|0151-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|
0002 |00FF-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0156-00|0155-00|0154-00|015E-00|015A-00|0158-00|015A-00|0154-00|0158-00|015E-00|0158-00|015A-00|0155-00|0154-00|015E-00|015A-00|0158-00|015A-00|0154-00|015D-00|015E-00|0158-00|0157-00|0155-00|0154-00|015E-00|0157-00|0155-00|0154-00|015E-00|015A-00|0158-00|015A-00|0182-00|010D-0A|0113-08|00FE-00|00FE-00|0113-02|010B-00|0113-08|0185-00|0154-00|015D-00|015E-00|0159-00|0157-00|0155-00|0154-00|015E-00|
0003 |00FF-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0159-00|0182-00|0116-02|0115-05|0115-00|0115-0C|0115-02|0115-0B|0115-04|0115-09|0115-0A|0115-06|0115-0C|0115-00|0115-05|0115-09|0115-07|0115-0B|0115-0C|0115-03|0115-0C|0115-07|0115-04|0115-04|0115-07|0115-0C|0115-0C|0115-02|0115-04|0115-08|0115-05|0115-02|0115-05|0115-0A|0115-04|0110-0B|0113-01|0113-02|0113-09|0113-08|0113-00|0113-01|0185-01|010E-06|010E-06|010E-03|010E-04|010E-06|010E-0B|010E-07|010E-04|
0004 |00FF-00|0149-00|0149-00|0149-00|015A-00|0159-00|0157-00|0155-00|0154-00|015E-00|015A-00|0158-00|015A-00|0154-00|015D-00|015E-00|0158-00|0157-00|0155-00|0154-00|015E-00|015A-00|0158-00|015A-00|0154-00|0158-00|015E-00|015E-00|0159-00|0182-00|0116-0A|0117-00|0113-0A|0113-02|010C-03|0113-03|0113-08|0113-06|0113-00|0113-04|0113-05|0113-0A|0113-0C|0113-05|0113-06|0113-0C|0113-06|0113-08|0113-01|0113-09|0113-02|0113-02|0113-08|0113-04|0113-03|0113-08|0113-0A|0113-06|0113-0C|0113-04|0113-06|0113-00|0113-0C|0113-09|010C-03|0113-09|0113-06|0104-00|00FE-04|0105-00|0113-0B|010C-07|010C-06|010C-09|010C-09|010C-09|010C-0B|010C-04|010C-09|010C-02|
0005 |00FF-00|0149-00|0149-00|0149-00|0150-00|0116-07|0115-03|0115-0A|0115-0C|0115-05|0115-05|0115-00|0115-04|0115-04|0115-0C|0115-03|0115-0B|0115-0A|0115-0C|0115-08|0115-03|0115-04|0115-0C|0115-03|0115-0B|0115-0A|0115-0C|0115-0C|0115-08|0115-03|0117-02|0113-0B|0113-01|0106-00|0113-01|0180-00|015A-00|015E-00|0158-00|0157-00|0155-00|0154-00|015E-00|015A-00|0158-00|015A-00|0154-00|0158-00|015E-00|0158-00|0157-00|0155-00|0154-00|015E-00|015A-00|0158-00|015A-00|0154-00|015D-00|015E-00|0159-00|0157-00|0155-00|015D-00|015E-00|0158-00|0183-00|0183-01|0180-00|015E-00|0157-00|015E-00|015A-00|0158-00|015A-00|0154-00|0158-00|015E-00|0158-00|0157-00|
0006 |00FF-00|0149-00|0149-00|0149-00|018A-00|0114-08|011A-00|011A-00|0119-07|0119-03|0119-02|0119-02|0119-07|0119-01|0119-07|0113-00|0113-03|0113-08|0119-05|0119-04|0119-00|0119-05|0119-06|0113-00|011E-00|0113-08|0119-03|0119-06|00FE-05|00FE-01|0144-00|013F-07|0106-00|0113-04|0113-08|014D-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|018F-00|018F-02|018F-04|018C-00|018C-01|018F-00|018F-02|018F-04|014F-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|0149-00|
0007 |00FF-00|0149-00|0149-00|0149-00|014A-00|0114-03|011A-00|0122-00|0119-01|0113-00|0113-00|0113-05|0113-00|0119-02|0119-03|0119-03|0119-06|0119-00|0119-01|0119-05|0113-06|0113-0B|0118-04|0113-04|0118-01|0113-00|0113-08|0113-08|0113-08|0113-06|00FD-00|0113-00|013E-04|0113-00|0113-01|0181-00|0155-00|0154-00|015E-00|0158-00|015E-00|0159-00|0154-00|015E-00|015A-00|0158-00|015A-00|0154-00|015D-00|015E-00|0159-00|0157-00|0155-00|0154-00|015E-00|015A-00|0158-00|015A-00|0154-00|015D-00|0153-00|0149-00|0149-00|018F-01|018F-03|018F-05|018C-00|018C-01|018F-01|018F-03|018F-05|014D-00|0149-00|0149-00|0158-00|015A-00|0154-00|015D-00|015E-00|0159-00|
0008 |00FF-00|0149-00|0149-00|0149-00|014C-00|0114-03|0118-03|0118-00|010C-08|010C-02|010C-03|010C-01|010C-01|010C-03|010C-02|010C-03|010C-02|010C-03|010C-0B|010C-07|010C-05|010C-05|0118-01|0113-04|0118-02|0113-00|0113-03|0113-03|0113-08|0113-09|0141-00|00FE-02|0147-00|0113-04|0113-00|0181-01|0115-04|0115-0A|0115-00|0115-07|0115-03|0115-07|0115-06|0115-0B|0115-05|0115-08|0115-07|0115-00|0115-08|0115-0C|0115-06|0115-05|0115-0C|0115-09|0115-00|0115-06|0115-06|0115-09|0115-06|0115-0B|0181-00|014D-00|015A-00|015A-00|0159-00|0157-00|0182-00|0114-03|0154-00|0156-00|0157-00|0153-00|0149-00|0157-00|0186-00|010F-04|010E-08|010E-02|010E-0A|010E-03|
0009 |00FF-00|0149-00|0149-00|0149-00|015B-00|0114-09|0118-05|0113-08|010C-05|0139-00|0133-00|0125-00|0139-00|0124-01|0124-02|0139-00|0125-00|0125-02|0125-03|0137-00|0187-01|010C-04|0118-03|0118-00|0113-00|0113-04|0113-05|0113-05|0113-00|0113-08|0113-08|0113-06|00FD-05|0113-00|0113-09|0113-07|0113-01|0113-0C|0118-00|0113-0B|0113-0B|0113-07|0113-0B|0113-09|0113-00|011A-00|011C-00|011A-00|011C-00|0113-0B|0113-04|0113-04|0113-0C|0113-01|0113-0B|0113-05|0113-01|0113-07|0113-0B|0113-03|0181-01|0181-00|018F-00|018F-02|018F-04|018F-06|0116-0B|0117-02|015A-00|018E-00|018E-03|014D-00|0154-00|0186-00|010F-09|0110-07|010C-00|010C-02|010C-04|010C-06|
0010 |00FF-00|0149-00|0149-00|0149-00|015C-00|0114-00|0118-03|0113-06|010C-06|0127-00|013C-00|010F-05|0127-03|0116-02|0115-09|013C-00|010F-0A|010E-05|010E-05|013C-00|010D-07|010C-08|0113-05|0118-00|0113-05|0113-03|0113-04|0113-04|0113-09|0113-02|0113-01|0113-05|00FD-00|0113-05|0113-0B|0113-0B|0113-0B|0113-00|0118-02|0113-06|0113-08|0113-05|0113-0C|0113-06|011A-00|011C-00|011A-00|011C-00|0113-02|0113-03|0113-0A|0113-0C|0113-0C|0113-01|0113-0A|0113-00|0113-04|0113-0A|0113-0C|0113-09|0113-07|0181-01|018F-01|018F-03|018F-05|018B-00|018B-01|0180-00|0159-00|018E-01|018E-04|014B-00|0150-00|010F-04|0110-09|010C-01|010C-06|010C-0A|010C-07|010C-0A|
0011 |00FF-00|0149-00|0149-00|0149-00|0150-00|0114-00|0118-03|0113-0B|010C-08|013D-00|0134-00|010D-0B|0127-02|0114-0C|0118-01|013C-00|010D-08|010C-02|010C-05|013C-00|010D-08|010C-00|0113-05|0118-00|0113-05|0113-08|0113-07|0113-07|0113-0B|0113-0B|0113-09|0113-05|0113-09|0113-05|0113-03|0113-0B|0113-04|0113-03|0118-00|0113-0C|0113-02|0113-06|0113-03|011A-00|011C-00|011A-00|011C-00|0113-03|0113-01|0113-00|0113-06|0113-06|0113-07|0113-01|0113-06|0113-01|0113-0A|0113-0B|0113-05|0113-0A|0113-05|0113-02|015A-00|0158-00|0154-00|0182-00|0114-03|015A-00|018E-00|018E-02|018E-05|0151-00|014E-00|010D-0A|010C-09|010C-0B|010C-05|010C-06|010C-07|010C-0A|
0012 |00FF-00|0149-00|0149-00|0149-00|014E-00|0114-04|0118-05|0118-05|010C-08|0127-00|010E-0A|0110-07|013C-00|0114-0C|0118-03|0127-04|010D-09|010C-05|010C-05|0127-04|010D-09|010C-09|0113-06|0118-02|0113-0B|0113-07|0113-06|0113-07|0113-00|0113-00|0113-01|0113-06|0113-08|0113-0B|0113-0A|0113-05|0113-08|0113-0B|0118-05|0113-04|0113-02|0113-06|011A-00|011C-00|011A-00|011C-00|0113-06|0113-00|0113-00|0113-00|0113-01|0113-05|0113-05|0113-01|0113-08|0113-0C|0113-02|0113-01|0113-0C|0113-08|0113-06|0113-08|014D-00|0149-00|0188-00|0116-04|0117-09|0181-00|0158-00|018E-01|018E-04|014D-00|014A-00|010D-0A|010C-05|010C-07|010C-0B|010C-0A|010C-05|010C-07|
0013 |00FF-00|0149-00|0149-00|0149-00|014A-00|0114-09|0113-00|0118-04|010C-07|013D-00|0124-02|0124-02|0134-00|0114-0C|0118-05|013C-00|010D-07|010C-0B|010C-05|013C-00|010D-07|010C-05|0113-08|0118-04|0113-01|0113-02|0113-07|0113-07|0113-0B|0113-04|0113-09|0113-00|0113-03|0113-07|0113-0C|0113-01|0113-08|0113-01|0118-04|0113-00|0113-09|011A-00|011C-00|011A-00|011C-00|0113-09|0113-04|0113-02|0113-07|0113-0C|0113-08|0113-06|0113-0C|0113-06|0113-07|0113-04|0113-06|0113-0C|0113-0C|0113-0A|0113-07|0113-09|014F-00|015A-00|0158-00|0183-00|0183-01|0181-01|0181-00|018E-00|018E-00|0153-00|014C-00|010D-0A|010C-09|010C-06|010C-07|010C-0B|010C-02|010C-0B|
